image_name,config_name,kind,value,init_azimuthm,init_elevation,init_radius
0000.png,0000.json,azimuth,-183.0,-183.0,40.0,3.0
0001.png,0001.json,azimuth,-177.0,-177.0,40.0,3.0
0002.png,0002.json,azimuth,-171.0,-171.0,40.0,3.0
0003.png,0003.json,azimuth,-165.0,-165.0,40.0,3.0
0004.png,0004.json,azimuth,-159.0,-159.0,40.0,3.0
0005.png,0005.json,azimuth,-153.0,-153.0,40.0,3.0
0006.png,0006.json,azimuth,-147.0,-147.0,40.0,3.0
0007.png,0007.json,elevation,22.0,-165.0,22.0,3.0
0008.png,0008.json,elevation,28.0,-165.0,28.0,3.0
0009.png,0009.json,elevation,34.0,-165.0,34.0,3.0
0010.png,0010.json,elevation,40.0,-165.0,40.0,3.0
0011.png,0011.json,elevation,46.0,-165.0,46.0,3.0
0012.png,0012.json,elevation,52.0,-165.0,52.0,3.0
0013.png,0013.json,elevation,58.0,-165.0,58.0,3.0
0014.png,0014.json,radius,2.4,-165.0,40.0,2.4
0015.png,0015.json,radius,2.6,-165.0,40.0,2.6
0016.png,0016.json,radius,2.8,-165.0,40.0,2.8
0017.png,0017.json,radius,3.0,-165.0,40.0,3.0
0018.png,0018.json,radius,3.2,-165.0,40.0,3.2
0019.png,0019.json,radius,3.4,-165.0,40.0,3.4
0020.png,0020.json,radius,3.6,-165.0,40.0,3.6
