image_name,config_name,axis_index,axis_value,offset,black_rotation_degree,black_rotation_axis
0000.png,0000.json,0,2,-6,"[-2.0, -5.0, -25.0]","[2, 1, 0]"
0001.png,0001.json,0,2,-3,"[-5.0, -5.0, -25.0]","[2, 1, 0]"
0002.png,0002.json,0,2,0,"[-8.0, -5.0, -25.0]","[2, 1, 0]"
0003.png,0003.json,0,2,3,"[-11.0, -5.0, -25.0]","[2, 1, 0]"
0004.png,0004.json,0,2,6,"[-14.0, -5.0, -25.0]","[2, 1, 0]"
0005.png,0005.json,0,2,9,"[-17.0, -5.0, -25.0]","[2, 1, 0]"
0006.png,0006.json,1,1,-3,"[-8.0, -2.0, -25.0]","[2, 1, 0]"
0007.png,0007.json,1,1,0,"[-8.0, -5.0, -25.0]","[2, 1, 0]"
0008.png,0008.json,1,1,3,"[-8.0, -8.0, -25.0]","[2, 1, 0]"
0009.png,0009.json,1,1,6,"[-8.0, -11.0, -25.0]","[2, 1, 0]"
0010.png,0010.json,1,1,9,"[-8.0, -14.0, -25.0]","[2, 1, 0]"
0011.png,0011.json,2,0,-9,"[-8.0, -5.0, -16.0]","[2, 1, 0]"
0012.png,0012.json,2,0,-6,"[-8.0, -5.0, -19.0]","[2, 1, 0]"
0013.png,0013.json,2,0,-3,"[-8.0, -5.0, -22.0]","[2, 1, 0]"
0014.png,0014.json,2,0,0,"[-8.0, -5.0, -25.0]","[2, 1, 0]"
0015.png,0015.json,2,0,3,"[-8.0, -5.0, -28.0]","[2, 1, 0]"
0016.png,0016.json,2,0,6,"[-8.0, -5.0, -31.0]","[2, 1, 0]"
0017.png,0017.json,2,0,9,"[-8.0, -5.0, -34.0]","[2, 1, 0]"
